id,section,module_key,module_label,checklist_item,description,priority,status,issue_type,severity,owner_user_id,owner_name,route,evidence_notes,fix_notes,screenshot_url,created_by,created_at,updated_at,reviewed_at,fixed_at,is_deleted
30193292-5fca-4d2d-80a6-9e22797876ce,Navigation & Access,,,Sidebar shows only daily-use core tools.,,medium,not_checked,,,,,/,,,,89eddcfc-f32c-4f2b-b348-c30d77ce0c4b,2026-05-30 13:36:53.717417+00,2026-05-30 13:36:53.717417+00,,,f
9c948df5-04b8-40e6-8f8c-1ffd6673b909,Navigation & Access,,,Revenue Command Center opens correctly.,,medium,not_checked,,,,,/,,,,89eddcfc-f32c-4f2b-b348-c30d77ce0c4b,2026-05-30 13:36:53.717417+00,2026-05-30 13:36:53.717417+00,,,f
d73229b9-735e-4aed-b5ba-32d07703b3a2,Navigation & Access,,,Analytics Center opens correctly.,,medium,not_checked,,,,,/,,,,89eddcfc-f32c-4f2b-b348-c30d77ce0c4b,2026-05-30 13:36:53.717417+00,2026-05-30 13:36:53.717417+00,,,f
ec185500-ac3f-406d-bea9-b8db45263fa8,Navigation & Access,,,Admin Center opens correctly.,,medium,not_checked,,,,,/,,,,89eddcfc-f32c-4f2b-b348-c30d77ce0c4b,2026-05-30 13:36:53.717417+00,2026-05-30 13:36:53.717417+00,,,f
16a7ceff-cd83-488e-943c-f36f5dd6ef13,Navigation & Access,,,Hidden modules are still accessible through hubs.,,medium,not_checked,,,,,/,,,,89eddcfc-f32c-4f2b-b348-c30d77ce0c4b,2026-05-30 13:36:53.717417+00,2026-05-30 13:36:53.717417+00,,,f
9102b120-5d1c-4a9d-a4ba-9d803a7967e6,Navigation & Access,,,Unauthorized users cannot access restricted modules.,,medium,not_checked,,,,,/,,,,89eddcfc-f32c-4f2b-b348-c30d77ce0c4b,2026-05-30 13:36:53.717417+00,2026-05-30 13:36:53.717417+00,,,f
e87aba62-5d7f-4ba6-a156-f55412a3f043,Navigation & Access,,,Access-denied states are clear and clean.,,medium,not_checked,,,,,/,,,,89eddcfc-f32c-4f2b-b348-c30d77ce0c4b,2026-05-30 13:36:53.717417+00,2026-05-30 13:36:53.717417+00,,,f
59bb3ff5-a20d-428a-bd14-5fde0261109f,Navigation & Access,,,Notification bell works without adding sidebar clutter.,,medium,not_checked,,,,,/,,,,89eddcfc-f32c-4f2b-b348-c30d77ce0c4b,2026-05-30 13:36:53.717417+00,2026-05-30 13:36:53.717417+00,,,f
a045f90b-2dd6-4369-954c-de5dc781653f,Navigation & Access,,,Mobile navigation is usable.,,medium,not_checked,,,,,/,,,,89eddcfc-f32c-4f2b-b348-c30d77ce0c4b,2026-05-30 13:36:53.717417+00,2026-05-30 13:36:53.717417+00,,,f
8e338802-b193-404d-854d-6da88c18ff3f,Navigation & Access,,,No duplicate module links exist.,,medium,not_checked,,,,,/,,,,89eddcfc-f32c-4f2b-b348-c30d77ce0c4b,2026-05-30 13:36:53.717417+00,2026-05-30 13:36:53.717417+00,,,f
2e6cdc8e-cb47-4bd8-a5fe-57bb9c145cd9,End-to-End Revenue Flow,paid_pipeline,Paid Pipeline,Lead/report data appears correctly after ROAS or Attribution report is created.,,medium,not_checked,,,,,/paid-pipeline,,,,89eddcfc-f32c-4f2b-b348-c30d77ce0c4b,2026-05-30 13:36:53.717417+00,2026-05-30 13:36:53.717417+00,,,f
2e8976e7-09b0-4185-a10a-fa5f9ebc7921,End-to-End Revenue Flow,paid_pipeline,Paid Pipeline,Leads can be sent to Paid Pipeline.,,medium,not_checked,,,,,/paid-pipeline,,,,89eddcfc-f32c-4f2b-b348-c30d77ce0c4b,2026-05-30 13:36:53.717417+00,2026-05-30 13:36:53.717417+00,,,f
a7bc1811-2d0b-43c1-8735-77aef629621c,End-to-End Revenue Flow,paid_pipeline,Paid Pipeline,Token buyer appears in Paid Pipeline.,,medium,not_checked,,,,,/paid-pipeline,,,,89eddcfc-f32c-4f2b-b348-c30d77ce0c4b,2026-05-30 13:36:53.717417+00,2026-05-30 13:36:53.717417+00,,,f
9ad93151-7c4d-4aa0-8576-7ec48ffd052e,End-to-End Revenue Flow,paid_pipeline,Paid Pipeline,Payment can be added without errors.,,medium,not_checked,,,,,/paid-pipeline,,,,89eddcfc-f32c-4f2b-b348-c30d77ce0c4b,2026-05-30 13:36:53.717417+00,2026-05-30 13:36:53.717417+00,,,f
25cd48f3-bc8a-41fc-8b40-555e14c0157f,End-to-End Revenue Flow,paid_pipeline,Paid Pipeline,Lead stage can be updated.,,medium,not_checked,,,,,/paid-pipeline,,,,89eddcfc-f32c-4f2b-b348-c30d77ce0c4b,2026-05-30 13:36:53.717417+00,2026-05-30 13:36:53.717417+00,,,f
eb15c8fb-0e4c-4ce9-94f6-ac3611d1026d,End-to-End Revenue Flow,paid_pipeline,Paid Pipeline,Follow-up can be created from lead.,,medium,not_checked,,,,,/paid-pipeline,,,,89eddcfc-f32c-4f2b-b348-c30d77ce0c4b,2026-05-30 13:36:53.717417+00,2026-05-30 13:36:53.717417+00,,,f
46dee2f9-ce6c-4fd6-abfb-707a6058e1f6,End-to-End Revenue Flow,paid_pipeline,Paid Pipeline,Follow-up appears in Follow-Up Command Center.,,medium,not_checked,,,,,/paid-pipeline,,,,89eddcfc-f32c-4f2b-b348-c30d77ce0c4b,2026-05-30 13:36:53.717417+00,2026-05-30 13:36:53.717417+00,,,f
7349571f-4297-46b3-a29a-1317402829d5,End-to-End Revenue Flow,paid_pipeline,Paid Pipeline,Balance pending lead appears in Payment Recovery.,,medium,not_checked,,,,,/paid-pipeline,,,,89eddcfc-f32c-4f2b-b348-c30d77ce0c4b,2026-05-30 13:36:53.717417+00,2026-05-30 13:36:53.717417+00,,,f
016b5d3c-df54-4365-b538-e0ede2ce970f,End-to-End Revenue Flow,paid_pipeline,Paid Pipeline,Finance status can be updated.,,medium,not_checked,,,,,/paid-pipeline,,,,89eddcfc-f32c-4f2b-b348-c30d77ce0c4b,2026-05-30 13:36:53.717417+00,2026-05-30 13:36:53.717417+00,,,f
24bfb79f-b7e4-4c4a-8548-13b858e34852,End-to-End Revenue Flow,paid_pipeline,Paid Pipeline,Final sale can be marked correctly.,,medium,not_checked,,,,,/paid-pipeline,,,,89eddcfc-f32c-4f2b-b348-c30d77ce0c4b,2026-05-30 13:36:53.717417+00,2026-05-30 13:36:53.717417+00,,,f
ef8f68d4-79c5-4f42-a9c3-216e67b44516,End-to-End Revenue Flow,paid_pipeline,Paid Pipeline,Audit Log records important changes.,,medium,not_checked,,,,,/paid-pipeline,,,,89eddcfc-f32c-4f2b-b348-c30d77ce0c4b,2026-05-30 13:36:53.717417+00,2026-05-30 13:36:53.717417+00,,,f
cdc9bb9f-940d-49f3-93cc-35b39f5ec538,End-to-End Revenue Flow,paid_pipeline,Paid Pipeline,Notification is generated for important pending actions.,,medium,not_checked,,,,,/paid-pipeline,,,,89eddcfc-f32c-4f2b-b348-c30d77ce0c4b,2026-05-30 13:36:53.717417+00,2026-05-30 13:36:53.717417+00,,,f
b2621371-c9c9-4e93-9891-663ae77187cd,End-to-End Revenue Flow,paid_pipeline,Paid Pipeline,Founder/Webinar dashboards reflect updated numbers.,,medium,not_checked,,,,,/paid-pipeline,,,,89eddcfc-f32c-4f2b-b348-c30d77ce0c4b,2026-05-30 13:36:53.717417+00,2026-05-30 13:36:53.717417+00,,,f
40a74e03-160f-4934-b099-88bbb7ea6e16,End-to-End Revenue Flow,paid_pipeline,Paid Pipeline,No duplicate leads/payments are created.,,medium,not_checked,,,,,/paid-pipeline,,,,89eddcfc-f32c-4f2b-b348-c30d77ce0c4b,2026-05-30 13:36:53.717417+00,2026-05-30 13:36:53.717417+00,,,f
